R0000100,R0003300,R0005700,R0060300,R1051600,R1302000,R1302100,R1303400,R6235600,R6502300,R6513700,R6516200,R6520300,R6553600,R7289200,R7289400,R7293430,R7312300,R7329900,R7330000,R7337600,R7344600,R7344700,R7347500,R7347600,R7347700,R7477700,R7477800,R7610300
4389,1,19,90,-4,0,-4,-4,14,-4,56,1,5,-4,0,-4,438,24000,5,-2,-4,2,0,0,0,0,2,0,1
4391,6,-4,71,-4,0,-4,-4,16,-4,51,1,8,-4,0,1,442,800,1,90000,-4,2,0,2000,0,0,2,0,1
4394,6,-4,89,-4,0,-4,-4,12,-4,50,3,-4,-4,0,-4,749,-4,5,-2,-4,3,0,-2,-2,-2,2,0,1
4408,6,-4,104,14,1,9,4,14,-4,53,1,5,-4,0,-4,430,73000,2,68000,-4,2,0,5000,0,5000,2,1,0
4409,6,-4,108,-4,0,-4,-4,14,-4,50,1,4,-4,0,-4,416,1600,3,30000,-4,1,0,0,0,10000,2,0,1
4416,1,21,122,-4,0,-4,-4,18,-4,57,1,9,-4,0,0,373,-4,1,-1,-4,1,1,-2,-2,-2,2,0,1
4419,6,-4,103,-4,0,-4,-4,12,-4,51,1,4,-4,0,-4,509,-4,3,23600,-4,2,0,-2,-2,-2,2,0,1
4420,1,18,108,-4,0,-4,-4,12,-4,58,1,4,-4,0,1,373,19000,4,10000,-4,2,0,3300,3300,3400,2,0,1
4426,6,-4,999,-4,1,20,-4,12,-4,51,4,-4,-4,1,-4,618,-1,7,35000,-4,2,0,0,0,0,2,0,1
4432,6,-4,-4,-4,0,-4,-4,18,-4,50,1,8,-4,0,-4,373,62000,3,-2,-4,1,0,0,7500,2500,2,2,0
4437,1,17,104,-4,0,-4,-4,-5,-4,56,4,-4,-4,0,-4,543,24000,3,17000,-4,2,0,0,0,10000,2,0,1
4446,1,18,116,-5,1,-4,-4,12,-4,58,1,5,-4,1,-4,422,42000,2,15000,-4,1,0,-2,-2,-2,2,0,0
4462,6,18,999,-4,0,-4,-4,12,-4,54,6,-4,-4,0,-4,461,-2,3,20000,-4,1,0,-2,-2,-2,2,0,1
4484,6,-4,101,-4,1,10,-4,14,-4,52,4,-4,-4,1,1,373,43000,3,42000,-4,2,1,0,5000,5000,2,1,0
4486,6,-4,-4,-4,0,-4,-4,12,-4,51,1,4,-4,0,-4,569,16000,2,-2,-4,2,0,0,0,10000,2,1,1
4491,6,-4,101,-4,0,-4,4,15,-4,51,4,-4,-4,0,0,375,32300,1,65000,-4,1,0,6000,0,4000,2,0,0
4501,1,17,97,-4,0,-4,2,12,-4,55,1,1,-4,0,1,452,-4,2,50000,-4,1,0,0,10000,0,2,0,1
4507,6,-4,-4,-4,0,-4,-4,12,-4,52,1,6,-4,0,-4,594,-4,6,40000,-4,2,0,0,0,0,2,1,1
4509,6,-4,98,12,0,-4,1,12,-4,53,1,6,-4,0,-4,626,-2,7,10000,-4,3,0,2500,0,1000,2,0,1
4527,6,-4,-4,-4,0,-4,-4,12,-4,50,1,4,-4,0,-4,524,0,3,10000,-4,3,0,5000,5000,0,2,0,1
4531,6,-4,-4,-4,1,-4,1,12,-4,51,1,5,-4,1,0,428,-4,1,60000,-4,1,0,0,0,10000,2,0,1
4534,6,-4,-4,-4,-5,-5,-5,14,-4,50,6,-4,-4,0,1,623,-4,7,2800,-4,4,0,6000,4000,0,2,0,0
4547,1,18,-4,-4,0,-4,8,11,-4,54,4,-4,-4,0,1,623,-4,5,35000,-4,2,0,0,5000,5000,2,0,1
4552,6,-4,125,-4,1,4,1,18,-4,54,4,-4,-4,1,0,533,39000,3,30000,-4,2,0,3300,3400,3300,2,0,1
4559,6,-4,124,-4,1,-4,5,16,-4,56,1,9,-4,0,1,373,50000,2,50000,-4,1,1,5000,2500,2500,2,0,1
4573,1,18,61,-4,0,-4,-4,13,-4,56,1,5,-4,0,-4,406,-4,3,25000,-4,2,0,0,0,10000,2,1,1
4583,1,17,115,-4,-5,-5,-5,-5,-4,59,1,1,-4,0,-4,518,250,4,35000,-4,2,1,0,0,10000,2,0,1
4584,1,16,111,-4,0,-4,-4,12,-4,53,1,4,-4,0,-4,544,20500,3,50000,-4,2,0,0,1000,0,2,0,0
4590,1,18,999,-5,0,-4,-4,12,-4,56,4,-4,-4,0,-4,497,68000,2,50000,-4,1,1,8000,0,2000,2,0,1
4592,1,18,99,-4,0,-4,-4,12,-4,54,1,8,-4,0,1,498,54000,2,4500,-4,2,0,0,0,-2,2,0,1
4617,6,-4,-4,-4,0,-4,-4,11,-4,50,4,-4,-4,0,-4,487,-4,3,-2,-4,1,1,-2,-2,-2,2,0,0
4619,1,17,71,-4,1,3,-4,12,-4,59,3,-4,-4,0,-4,568,-4,3,-2,-4,2,0,0,0,0,2,1,1
4642,1,17,-4,-4,0,-4,-4,10,-4,57,1,2,-4,0,-4,381,20000,3,-2,-4,1,1,200,200,200,2,0,1
4647,6,15,-4,-4,1,10,-4,9,-4,57,6,-4,-4,0,-4,573,-4,7,-2,-4,3,0,-2,-2,-2,2,0,0
4648,1,11,-4,-4,0,-4,-4,1,-4,57,1,3,-4,0,-4,660,-4,1,-2,-4,1,0,0,0,0,2,0,1
4652,6,-4,-4,9,0,-4,-4,11,-4,51,5,-4,-4,0,-4,528,2400,3,-2,-4,1,0,0,0,0,2,0,0
4655,6,-4,72,12,0,-4,-4,12,-4,51,1,4,-4,0,-4,433,12000,3,30000,-4,2,0,-2,-2,-2,2,0,1
4656,6,-4,-4,-4,0,-4,-4,12,-4,50,1,1,-4,0,-4,373,-1,2,-1,-4,1,1,0,0,0,2,0,0
4678,1,17,93,-4,0,-4,-4,12,-4,59,1,2,-4,0,-4,373,6000,3,-2,-4,3,0,5000,0,5000,2,0,1
4687,6,-4,-4,-4,0,-4,-4,12,-4,50,1,4,-4,0,-4,373,-4,3,-1,-4,1,1,0,0,10000,2,1,1
4688,1,19,110,-4,1,-4,2,13,-4,55,4,-4,-4,1,-4,430,21000,5,16000,-4,2,0,0,2500,7500,2,0,1
4692,1,17,69,-4,0,-4,-4,12,-4,58,3,-4,-4,0,-4,432,-4,3,-2,-4,2,0,0,0,10000,2,0,1
4697,6,18,999,-4,0,-4,1,10,-4,54,5,-4,-4,0,-4,581,-1,5,-2,-4,2,0,10000,0,0,2,1,1
4698,6,17,999,-4,1,-4,10,10,-4,55,4,-4,-4,1,0,529,11000,5,-2,-4,2,0,5000,0,5000,2,1,1
4699,6,-4,999,17,0,-4,-4,17,-4,52,1,10,-4,0,1,442,63000,2,100000,-4,1,1,4000,0,6000,2,1,1
4700,1,15,-4,-4,1,5,-4,12,-4,57,4,-4,-4,0,-4,373,66560,2,-2,-4,1,0,5000,0,5000,2,0,1
4704,6,19,105,-4,0,-4,-4,12,-4,59,1,4,-4,0,-4,547,-4,3,40000,-4,2,0,1000,1000,8000,2,0,1
4705,6,-4,113,-4,0,-4,-4,16,-4,54,1,5,-4,0,-4,509,26000,3,60000,-4,2,1,0,0,0,2,1,1
4708,2,18,-4,-5,-5,-5,-5,-5,-4,56,1,4,-4,0,-4,373,-4,4,-2,-4,2,0,0,0,10000,2,0,1
4711,6,-4,114,-4,0,-4,8,18,-4,52,1,10,-4,0,1,428,56000,4,60000,-4,1,1,7500,1000,1500,2,1,0
4713,6,19,91,-4,0,-4,-4,12,-4,59,1,2,-4,0,-4,414,-1,3,-2,-4,2,0,-2,-2,-2,2,0,1
4728,1,14,-4,-4,0,-4,1,10,-4,54,4,-4,-4,0,0,406,33000,3,47000,-4,2,1,0,5000,5000,2,0,1
4734,2,18,106,-4,0,-4,5,12,-4,54,1,8,-4,0,0,430,-4,3,50000,-4,2,0,0,0,10000,2,0,1
4742,1,16,98,-4,0,-4,-4,10,-4,55,1,2,-4,0,-4,656,-4,6,25000,-4,3,0,0,0,10000,2,0,1
4757,1,17,85,-4,0,-4,-4,10,-4,53,1,1,-4,0,-4,579,2000,4,-2,-4,2,0,-2,-2,-2,2,2,0
4760,6,-4,119,-4,0,-4,-4,12,-4,51,1,5,-4,0,-4,508,15000,3,75000,-4,2,1,10000,0,0,2,2,1
4766,2,18,93,16,0,-4,-4,16,-4,54,1,5,-4,0,-4,373,100000,2,40000,-4,2,1,5000,0,5000,2,1,1
4768,1,16,81,-4,0,-4,1,12,-4,57,4,-4,-4,0,-4,728,-4,3,10000,-4,2,0,0,0,10000,2,0,1
4774,1,20,72,-4,0,-4,-4,11,-4,56,1,3,-4,0,-4,497,-4,3,-2,-4,1,0,0,0,0,2,0,1
4782,6,-4,114,-4,0,-4,-4,12,-4,53,3,-4,-4,0,1,416,29000,4,25000,-4,1,0,-2,-2,-2,2,0,1
4793,6,-4,999,-4,0,-4,-4,16,-4,56,1,-1,-4,0,-4,460,30000,3,-2,-4,2,0,-1,-1,-1,2,0,1
4800,6,-4,106,-4,0,-4,6,14,-4,52,4,-4,-4,0,1,422,17000,5,25000,-4,1,1,0,0,10000,2,0,1
4804,6,-4,135,-4,0,-4,1,18,-4,53,4,-4,-4,0,0,416,30000,2,28000,-4,2,0,0,4000,6000,2,0,1
4807,6,-4,-4,-4,0,-4,-4,13,-4,50,1,4,-4,0,1,481,-4,4,30000,-4,1,0,0,0,2000,2,0,1
4817,6,-4,120,-4,0,-4,-4,16,-4,52,1,8,-4,0,1,440,-4,1,-1,-4,1,1,-2,-2,-2,2,0,1
4830,6,16,-4,-5,-5,-5,-5,8,-4,52,1,-2,-4,1,-4,464,10000,5,-2,-4,2,0,-2,-2,-2,2,1,1
4849,6,-4,67,-4,0,-4,-4,12,-4,51,1,4,-4,0,-4,428,24000,3,40000,-4,2,0,0,0,10000,2,0,1
4850,1,16,-4,-4,0,-4,-4,-5,-4,57,4,-4,-4,0,-4,373,31000,2,20000,-4,3,0,0,5000,5000,2,0,1
4854,6,20,69,-4,0,-4,-4,12,-4,57,3,-4,-4,0,-4,644,4800,3,5000,-4,1,0,0,0,100,2,0,1
4865,6,-4,-4,-4,0,-4,-4,17,-4,51,1,4,-4,0,-4,568,59000,4,50000,-4,2,0,0,0,10000,2,0,1
4871,6,-4,-4,-4,0,-4,-4,-5,-4,53,1,1,-4,0,-4,579,-4,5,20000,-4,2,0,0,0,10000,2,0,1
4875,6,19,-4,-4,1,4,-4,10,-4,54,6,-4,-4,0,-4,586,-4,3,-2,-4,2,0,-2,-2,-2,2,0,1
4879,6,-4,-4,-4,0,-4,-4,17,-4,53,1,10,-4,0,-4,373,35000,2,100000,-4,1,0,-2,-2,-2,2,1,0
4884,1,15,94,-4,1,-4,2,12,-4,56,1,4,-4,1,-4,575,-4,6,-2,-4,2,0,5000,0,5000,2,0,1
4887,6,-4,-4,-4,-5,-5,-5,-5,-4,52,1,8,-4,0,-4,457,-1,2,-2,-4,1,0,3300,3300,3300,2,1,1
4890,6,-4,112,-4,0,-4,-4,16,-4,50,1,10,-4,0,-4,373,81000,2,100000,-4,1,0,10000,0,0,2,1,1
4892,1,21,100,-4,0,-4,1,16,-4,58,1,8,-4,0,1,420,-2,1,-2,-4,2,0,3000,4000,3000,2,0,1
4900,6,20,999,-4,0,-4,-4,18,-4,58,5,-4,-4,0,-4,381,35000,3,20000,-4,2,0,3300,3300,3400,2,1,1
4923,6,-4,-4,-4,0,-4,-4,7,-4,50,5,-4,-4,0,-4,650,-4,6,15000,-4,4,0,5000,2500,2500,2,2,1
4928,6,-4,-4,18,0,-4,-4,18,-4,50,1,8,-4,0,-4,373,46000,2,-2,1,1,0,0,10000,0,2,0,1
4932,6,-4,-4,-4,0,-4,-4,11,-4,51,1,2,-4,0,-4,521,19000,2,-2,-4,1,1,10000,0,0,2,0,0
4949,6,-4,-4,-4,-5,-5,-5,11,-4,51,4,-4,-4,0,1,681,30000,5,68000,-4,2,0,3700,3700,2600,2,0,1
4963,6,-4,-4,-4,1,10,-4,12,-4,50,4,-4,-4,0,-4,377,29643,3,30000,-4,2,0,3300,3300,3300,2,0,1
4972,6,-4,113,-4,0,-4,-4,18,-4,54,1,8,-4,0,1,512,41000,3,-2,-4,2,0,5000,5000,0,2,1,1
4976,6,20,105,-4,0,-4,-4,15,-4,56,4,-4,-4,0,-4,679,-4,6,10000,-4,4,0,0,0,0,2,0,1
4989,6,-4,-4,-4,0,-4,3,12,-4,54,1,6,-4,0,1,416,25000,2,75000,-4,1,0,5000,5000,0,2,0,1
4993,6,-4,94,-5,-5,-5,-5,16,-4,60,1,8,-4,0,-4,416,37000,1,-2,-4,1,0,0,0,10000,2,0,1
5009,1,18,96,-4,0,-4,30,12,-4,56,1,4,-4,0,1,433,16000,1,40000,-4,1,0,3000,3000,3000,2,0,1
5020,1,20,103,-4,-5,-5,-5,12,-4,58,1,4,-4,0,-4,379,-4,1,-1,-4,1,0,-2,-2,-2,2,0,1
5021,1,17,-4,-4,1,20,8,12,-4,57,1,4,-4,0,1,373,12000,2,-2,-4,1,0,-2,-2,-2,2,0,1
5022,1,-4,104,-5,0,-4,-4,16,-4,60,1,10,-4,0,-4,432,-4,1,4000,-4,1,1,0,0,0,2,0,1
5031,6,-4,72,-4,1,5,3,12,-4,50,1,4,-4,0,-4,373,-4,5,-1,-4,2,0,10000,0,0,2,1,1
5032,1,-4,71,-4,-5,-5,-5,-5,-4,77,4,-4,-4,0,0,424,-4,3,-1,-4,2,1,0,0,0,2,0,1
5033,6,-4,99,-4,-5,-5,-5,-5,-4,52,1,8,-4,1,-4,444,21200,3,35000,-4,2,1,0,0,10000,2,0,1
5035,6,-4,84,-4,1,-4,-4,12,-4,51,6,-4,-4,1,1,758,-4,6,30000,-4,4,0,0,0,10000,2,0,1
5039,1,22,108,16,0,-4,-4,16,-4,59,4,-4,-4,0,1,531,42000,3,40000,-4,2,0,3330,3330,3330,2,0,1
5043,6,-4,114,-4,0,-4,-4,17,-4,54,1,10,-4,0,-4,438,134025,5,-2,-4,2,0,3000,2000,5000,2,1,1
5045,1,17,116,-4,0,-4,-4,13,-4,59,1,5,-4,0,1,373,100590,1,50000,-4,1,1,0,10000,0,2,0,1
5056,6,16,-4,-4,1,10,4,10,-4,51,6,-4,-4,1,1,454,13000,7,20000,-4,2,0,10000,0,0,2,0,0
5064,1,-4,76,-4,0,-4,-4,15,-4,60,1,8,-4,0,-4,424,10000,3,30000,-4,1,0,0,6500,3500,2,0,1
5065,6,15,-4,-4,1,5,1,9,-4,51,1,1,-4,1,0,584,0,3,15000,-4,1,0,0,0,10000,2,0,1
5069,6,-4,104,-4,0,-4,-4,16,-4,53,1,8,-4,0,1,424,34000,1,70000,-4,1,1,7500,2500,0,2,0,1
5072,6,-4,111,-4,0,-4,-4,18,-4,56,1,9,-4,0,-4,643,4700,3,36000,-4,2,1,0,4000,6000,2,0,1
5074,6,-4,115,-4,1,-4,1,17,-4,53,1,10,-4,1,1,428,32000,2,30000,-4,1,0,0,0,10000,2,0,1
5075,6,22,116,-4,0,-4,10,18,-4,57,1,8,-4,0,1,427,22224,1,24000,-4,1,0,0,5000,5000,2,0,1
5076,6,-4,-4,-5,0,-4,-4,-5,-4,49,1,4,-4,0,-4,373,-4,2,-1,-4,1,0,-2,-2,-2,2,0,1
5077,6,-4,89,-4,1,20,-4,12,-4,54,1,4,-4,0,1,460,-4,3,15600,-4,1,0,0,0,2000,2,0,1
5081,1,-4,96,-4,0,-4,-4,12,-4,53,1,2,-4,0,-4,512,-4,2,25000,-4,1,0,0,0,2000,2,1,1
5082,6,-4,95,-5,-5,-5,-5,-5,-4,53,1,6,-4,0,-4,464,-1,-1,-1,0,1,0,0,0,10000,2,0,1
5084,1,19,97,-4,0,-4,-4,18,-4,57,3,-4,-4,0,-4,593,41000,3,41000,-4,2,1,3000,0,7000,2,0,1
5086,1,18,-4,-4,1,-4,-4,11,-4,53,1,1,-4,1,-4,428,-4,5,-1,-4,2,0,0,0,10000,2,0,1
5091,6,-4,105,-4,1,-4,-4,12,-4,50,6,-4,-4,1,-4,688,-4,6,10000,-4,3,0,0,5000,5000,2,1,0
5097,6,17,-4,-4,0,-4,-4,7,-4,53,4,-4,-4,0,1,602,-4,3,15000,-4,2,0,0,5000,5000,2,1,1
5108,6,-4,-4,-4,0,-4,-4,12,-4,51,1,5,-4,0,1,534,35000,5,30000,-4,2,1,0,0,10000,2,0,0
5113,6,-4,114,16,0,-4,5,16,-4,55,1,8,-4,0,-4,477,23000,4,24000,-4,2,0,-2,-2,-2,2,0,1
5118,1,17,88,-4,0,-4,-4,12,-4,53,5,-4,-4,0,-4,373,-1,2,-1,-4,2,0,10000,0,0,2,0,1
5139,6,-4,70,-5,-5,-5,-5,-5,-4,53,4,-4,-4,0,1,698,-4,5,60000,-4,3,0,5000,5000,0,2,0,0
5146,6,-4,-4,-4,1,-4,-4,13,-4,51,5,-4,-4,0,-4,482,-4,4,35000,-4,2,0,0,0,10000,2,1,1
5157,6,-4,-4,-4,0,-4,-4,12,-4,54,1,4,-4,0,-4,627,-4,3,30000,-4,2,0,0,0,0,2,1,1
9,6,-4,111,-4,0,-4,-4,-5,-4,52,1,4,-4,0,-4,584,-4,3,25000,-4,2,0,0,2500,7500,3,1,0
13,6,-4,125,-4,0,-4,3,14,-4,55,1,10,-4,0,1,373,5000,2,90000,-4,1,0,7000,1500,1500,3,0,0
16,6,-4,121,-4,1,15,-4,15,-4,54,1,4,-4,0,-4,373,64000,2,30000,-4,1,0,2000,3000,5000,3,0,0
53,6,-4,-4,-4,-5,-5,-5,-5,-4,49,4,8,-4,1,1,595,35000,1,-2,-4,1,0,-2,-2,-2,3,3,0
78,1,17,119,-4,0,-4,3,12,-4,55,1,4,-4,0,-4,373,-4,3,50000,-4,1,0,0,0,10000,3,1,0
81,1,17,68,-4,0,-4,-4,10,-4,56,3,-4,-4,0,-4,551,-4,3,-2,-4,2,0,-2,-2,-2,3,0,0
83,6,-4,88,-5,0,-4,4,13,-4,51,1,10,-4,0,1,373,20000,2,-2,-4,1,1,0,0,10000,3,1,0
85,6,-4,103,-4,0,-4,-4,12,-4,53,4,-4,-4,0,-4,408,-1,2,-1,-4,-1,-1,-1,-1,-1,3,1,0
110,1,17,100,-4,0,-4,1,12,-4,60,1,8,-4,0,1,373,36000,1,-2,-4,1,0,2500,0,7500,3,0,0
134,1,18,108,-4,0,-4,5,12,-4,57,3,-4,-4,0,1,508,-1,5,-2,-4,2,0,0,0,10000,3,0,0
152,6,-4,-4,-4,1,5,4,17,-4,52,1,10,-4,1,1,496,60000,1,70000,-4,1,1,4000,6000,0,3,1,0
172,1,21,111,-4,1,15,2,15,-4,59,1,8,-4,0,1,406,-4,2,100000,-4,2,0,4000,0,6000,3,1,0
182,6,-4,113,-4,0,-4,2,16,-4,57,1,10,-4,0,1,373,-4,1,-2,-4,1,1,3300,3300,3400,3,1,0
190,6,-4,126,-4,0,-4,8,16,-4,50,1,10,-4,0,1,454,140000,3,1500,-4,1,1,6000,2000,2000,3,1,0
221,6,-4,109,-4,0,-4,-4,16,-4,55,1,7,-4,0,-4,424,54000,1,100000,-4,1,1,3300,3300,3400,3,0,0
234,6,-4,134,-4,0,-4,6,18,-4,54,1,10,-4,0,1,475,14000,1,75000,-4,2,1,0,0,10000,3,2,0
236,6,-4,120,-4,0,-4,25,18,-4,51,5,-4,-4,0,1,550,45000,2,100000,-4,2,1,-2,-2,-2,3,0,0
273,6,18,99,-4,0,-4,5,12,-4,57,1,8,-4,0,1,539,24000,3,30000,-4,2,0,5000,5000,0,3,2,0
285,6,-4,119,-4,0,-4,1,13,-4,53,1,6,-4,0,-4,377,70000,2,2,-4,1,0,5000,0,5000,3,0,0
292,1,-4,135,-4,0,-4,7,18,-4,58,1,10,-4,0,1,373,-4,1,2,-4,1,1,5000,0,5000,3,0,0
294,6,-4,-4,-4,1,10,-4,12,-4,49,5,-4,-4,1,0,373,35000,3,18000,-4,1,0,5000,0,0,3,2,0
296,1,19,106,-4,1,-4,-4,13,-4,59,1,4,-4,0,-4,561,40000,4,80000,-4,2,0,0,0,10000,3,3,0
299,6,18,104,-4,1,10,-4,18,-4,55,4,-4,-4,0,-4,390,60000,2,45000,-4,2,0,5000,0,5000,3,1,1
305,6,17,115,-4,1,10,1,16,-4,55,4,-4,-4,0,1,373,75000,2,-2,-4,1,0,5000,5000,0,3,1,0
309,1,17,109,-4,0,-4,4,-5,-4,56,1,5,-4,0,1,477,14000,2,67000,-4,1,1,3300,3300,3300,3,0,0
316,6,-4,105,-4,0,-4,1,14,-4,51,1,9,-4,0,1,416,-1,1,-2,-4,1,1,5000,0,5000,3,0,0
345,1,17,108,-4,0,-4,-4,12,-4,60,1,4,-4,0,-4,549,29000,3,50000,-4,1,0,0,0,10000,3,0,0
370,4,16,999,-4,-5,-5,-5,-5,-4,59,4,-4,-4,0,1,645,22000,5,35000,-4,3,0,0,0,10000,3,0,0
377,6,-4,131,-4,-5,-5,-5,16,-4,53,1,10,-4,0,1,373,-4,1,100000,-4,1,1,7000,3000,0,3,1,1
384,6,19,110,-4,0,-4,10,-5,-4,56,1,8,-4,0,1,416,20000,3,-2,-4,1,0,3300,3300,3400,3,0,0
388,6,20,100,-4,0,-4,2,14,-4,56,1,4,-4,0,1,434,2000,2,20000,-4,2,0,0,0,10000,3,0,0
416,1,15,129,-4,1,-4,3,-5,-4,51,1,-1,-4,0,1,451,12000,2,30000,-4,1,0,0,4000,6000,3,0,0
420,6,-4,-4,-4,1,10,1,18,-4,50,1,-4,-4,1,-4,453,70000,3,75000,-4,2,0,0,0,100,3,1,0
442,6,-4,119,-4,0,-4,2,18,-4,54,1,8,-4,0,1,524,42000,2,60000,-4,1,1,0,5000,5000,3,2,0
462,5,18,98,14,-5,-5,-5,14,-4,58,4,-4,-4,1,0,469,12000,6,20000,-4,3,0,3300,3300,3400,3,0,0
477,1,18,104,-4,1,12,1,12,-4,57,3,-4,-4,1,0,373,17000,3,25000,-4,1,0,0,0,0,3,0,0
494,6,-4,-4,-4,1,1,3,12,-4,50,1,10,-4,0,1,482,55000,2,100000,-4,1,1,4000,4000,2000,3,0,0
500,6,-4,81,14,0,-4,-4,14,-4,52,1,4,-4,0,-4,387,-4,3,-2,-4,1,0,-2,-2,10000,3,1,0
515,6,-4,110,-4,0,-4,-4,17,-4,54,1,4,-4,0,0,427,-4,2,50000,-4,1,1,-2,-2,-2,3,1,0
522,6,20,128,-4,1,10,-4,14,-4,56,1,4,-4,0,-4,493,26000,4,25000,-4,1,0,0,5000,5000,3,0,0
534,1,18,108,-4,0,-4,3,12,-4,57,1,4,-4,0,0,513,8000,1,-2,-4,1,0,0,0,10000,3,0,0
539,6,-4,101,-4,-5,-5,-5,16,-4,50,1,6,-4,0,-4,375,58000,2,48000,-4,1,0,0,0,10000,3,3,0
551,6,-4,121,-4,0,-4,-4,16,-4,51,4,-4,-4,0,1,470,30000,2,50000,-4,2,0,5000,0,5000,3,0,0
572,6,-4,-4,-4,0,-4,-4,14,-4,50,4,-4,-4,0,-4,425,60000,4,75000,-4,1,0,3300,3300,3300,3,3,0
598,1,17,98,-4,1,10,2,-5,-4,59,3,-4,-4,1,0,541,14000,7,20000,-4,4,0,10000,0,0,3,0,0
606,6,21,114,-4,1,30,30,17,-4,57,1,8,-4,0,1,429,11232,3,50000,-4,1,0,5000,2500,2500,3,1,0
613,6,19,-4,-4,0,-4,8,14,-4,58,4,-4,-4,0,1,373,-1,3,50000,-4,2,0,5000,2500,2500,3,1,0
626,6,-4,111,-4,0,-4,1,16,-4,50,1,10,-4,0,1,416,37000,2,90000,-4,1,1,10000,0,0,3,1,0
638,6,-4,121,-4,0,-4,6,16,-4,53,1,10,-4,0,1,373,100000,2,100000,-4,1,0,0,-2,-2,3,1,0
642,6,22,116,-5,-5,-5,-5,17,-4,58,1,10,-4,0,1,527,70000,3,36000,-4,2,0,3000,3000,4000,3,0,0
661,1,17,125,-4,-5,-5,-5,18,-4,59,5,-4,-4,0,-4,396,-4,3,-2,-4,2,0,-2,-2,-2,3,1,0
664,1,17,103,-4,1,20,2,12,-4,57,1,4,-4,0,0,525,-4,2,-2,-4,2,0,0,0,10000,3,0,0
684,6,-4,108,-4,0,-4,-4,13,-4,52,1,8,-4,0,1,373,57000,2,100000,-4,1,0,3000,3000,4000,3,0,0
689,6,-4,-4,-4,1,20,-4,15,-4,51,1,8,-4,1,0,477,42000,2,90000,-4,1,0,3000,0,0,3,3,1
693,1,17,108,-4,0,-4,-4,12,-4,56,1,4,-4,0,-4,645,16000,3,80000,-4,2,0,3000,3000,4000,3,0,0
698,6,-4,102,-4,0,-4,3,18,-4,52,6,-4,-4,0,0,373,34000,3,60000,-4,2,0,0,0,10000,3,0,0
761,1,18,91,-4,0,-4,3,13,-4,56,1,4,-4,0,1,454,25000,1,50000,-4,1,0,5000,4000,1000,3,0,0
780,6,-4,120,-4,1,1,4,14,-4,54,1,8,-4,0,1,414,-4,2,-2,-4,1,0,0,10000,0,3,0,0
784,1,22,105,-4,0,-4,-4,16,-4,59,1,8,-4,0,-4,454,-4,2,38000,-4,2,1,0,0,10000,3,0,1
786,1,23,96,-4,0,-4,2,16,-4,59,4,-4,-4,0,1,524,27000,5,28000,-4,2,0,0,0,10000,3,0,0
790,6,-4,106,-4,1,-4,-4,14,-4,53,1,4,-4,0,-4,738,-4,5,35000,-4,3,0,0,10000,0,3,0,0
793,6,17,87,-4,1,10,2,14,-4,54,1,8,-4,1,1,426,-2,2,-2,-4,2,0,10000,0,0,3,1,0
798,6,17,105,11,1,-4,7,-5,-4,53,5,-4,-4,1,1,607,41000,2,-2,-4,3,0,-2,-2,-2,3,0,0
809,1,18,97,-4,0,-4,4,12,-4,55,3,-4,-4,1,-4,457,42000,3,50000,-4,2,0,0,0,10000,3,2,0
825,6,-4,139,18,0,-4,30,18,-4,58,1,10,-4,0,1,373,-4,2,40000,-4,2,1,3300,3300,3300,3,0,0
836,6,18,105,-4,0,-4,6,-5,-4,54,1,5,-4,0,0,498,42000,3,85000,0,1,0,0,5000,5000,3,0,1
863,1,17,103,-4,0,-4,4,12,-4,58,1,8,-4,0,1,373,-4,2,75000,-4,1,0,0,0,10000,3,0,0
878,6,-4,102,-4,0,-4,4,14,-4,54,1,6,-4,0,1,517,20000,3,36000,-4,2,0,0,0,10000,3,0,0
885,6,-4,116,-4,0,-4,-4,-5,-4,51,4,-4,-4,0,-4,373,-1,3,-2,1,2,1,-2,-2,-2,3,1,0
888,6,-4,84,13,0,-4,-4,13,-4,52,1,4,-4,0,-4,504,-4,3,-2,-4,2,0,-2,-2,-2,3,0,0
897,6,-4,-4,-4,0,-4,-4,12,-4,49,1,4,-4,0,-4,381,-1,1,35000,0,1,0,0,2000,0,3,1,0
901,6,-4,118,-4,0,-4,-4,12,-4,50,5,-4,-4,0,-4,373,13000,3,10000,-4,2,0,0,0,10000,3,1,0
909,6,-4,-4,-5,0,-4,-4,-5,-4,50,1,10,-4,0,0,424,25000,3,50000,-4,1,1,0,10000,0,3,0,0
911,2,19,92,-4,0,-4,3,-5,-4,57,4,-4,6,0,-4,577,-4,7,-2,-4,2,0,1500,-2,2000,3,1,0
928,6,-4,86,-4,1,15,1,12,-4,51,1,8,-4,0,1,532,7114,3,50000,-4,1,0,0,-2,-2,3,0,1
929,1,-4,121,18,0,-4,2,18,-4,59,1,10,-4,0,1,505,65000,2,65000,-4,1,1,-2,-2,-2,3,1,0
965,1,18,111,-4,1,10,1,13,-4,59,1,-2,-4,1,0,459,-4,4,45000,-4,1,0,0,0,10000,3,0,0
967,6,-4,97,-4,0,-4,-4,14,-4,53,1,4,-4,0,-4,373,5000,4,32000,-4,1,0,0,0,10000,3,1,0
969,1,18,116,-4,0,-4,2,12,-4,57,1,7,-4,0,1,373,32000,2,100000,-4,1,1,3500,3500,3000,3,0,1
978,1,18,-4,-4,0,-4,-4,10,-4,59,1,1,-4,0,0,450,24000,3,52000,-4,1,0,5000,0,5000,3,0,0
